year,amount,inflation rate
1999,690.00,0.02
2000,713.19,0.03
2001,733.49,0.03
2002,745.08,0.02
2003,762.06,0.02
2004,782.36,0.03
2005,808.87,0.03
2006,834.96,0.03
2007,858.74,0.03
2008,891.71,0.04
2009,888.54,-0.00
2010,903.11,0.02
2011,931.62,0.03
2012,950.90,0.02
2013,964.83,0.01
2014,980.48,0.02
2015,981.64,0.00
2016,994.03,0.01
2017,1015.20,0.02
2018,1040.51,0.02
2019,1058.85,0.02
2020,1071.91,0.01
2021,1122.27,0.05
2022,1212.08,0.08
2023,1261.97,0.04
2024,1277.36,0.01
